Date,Open ,High,Low,Close,Adj Close,Volume
"Jul 24, 2023",425,428.64,419.19,428.37,428.37,"8,264,400"
"Aug 29, 2006",2.76,2.78,2.73,2.77,2.77,"6,967,100"
"Dec 8, 2005",3.89,3.94,3.89,3.93,3.93,"3,061,800"
"Sep 12, 2011",28.76,30.09,28.37,30.01,30.01,"31,899,000"
"Apr 2, 2024",611,615.03,605.51,614.21,614.21,"2,029,200"
"Apr 26, 2022",208.8,209.15,198.28,198.4,198.4,"20,318,100"
"Jan 23, 2015",60.99,62.74,60.88,62.49,62.49,"26,784,100"
"Oct 6, 2008",3.71,3.83,3.6,3.78,3.78,"28,088,200"
"Aug 16, 2023",423.73,424.51,415.25,415.45,415.45,"3,967,000"
"Sep 5, 2024",673.14,687.31,671.86,683.62,683.62,"1,810,100"
"May 11, 2012",10.41,11.2,10.36,11.05,11.05,"62,239,800"
"Feb 13, 2025","1,026.63","1,045.99","1,025.10","1,043.69","1,043.69","3,476,100"
"Oct 23, 2007",3.68,3.74,3.5,3.71,3.71,"38,485,300"
"Dec 22, 2017",188.33,190.95,186.8,189.94,189.94,"3,878,900"
"Dec 2, 2011",9.46,9.7,9.3,9.48,9.48,"39,710,300"
"Feb 27, 2012",15.44,15.77,15.23,15.63,15.63,"45,077,900"
"Dec 21, 2018",263.83,264.5,241.29,246.39,246.39,"21,397,600"
"Jul 15, 2003",1.9,2,1.87,1.88,1.88,"17,588,200"
"Feb 6, 2023",363.64,368.45,360.68,361.48,361.48,"4,994,900"
"Oct 1, 2024",713.64,717.76,698.59,706.13,706.13,"2,813,500"
"Mar 30, 2010",10.7,10.81,10.63,10.72,10.72,"7,662,200"
"Nov 21, 2002",0.73,0.79,0.72,0.79,0.79,"10,516,800"
"Feb 26, 2003",1.05,1.06,1.01,1.04,1.04,"3,878,000"
"May 21, 2007",3.13,3.23,3.12,3.21,3.21,"6,663,300"
"May 4, 2022",197.65,204.38,191.01,204.01,204.01,"12,218,800"
"Oct 18, 2006",3.26,3.28,3.18,3.2,3.2,"5,683,300"
"Dec 6, 2019",304.7,307.85,302.6,307.35,307.35,"4,457,800"
"Nov 12, 2021",660.01,683.34,653.82,682.61,682.61,"4,198,400"
"Jan 12, 2018",217.18,222.55,216,221.23,221.23,"8,199,400"
"Aug 9, 2007",2.43,2.54,2.37,2.54,2.54,"18,304,300"
"Apr 27, 2011",32.67,33.8,32.16,33.71,33.71,"56,493,500"
"Nov 30, 2016",119,120.37,116.39,117,117,"7,715,100"
"Jan 16, 2024",490,494.15,478.02,481.24,481.24,"4,679,000"
"Oct 24, 2018",332.28,333,300.73,301.83,301.83,"19,039,300"
"Aug 3, 2004",2.89,2.9,2.75,2.75,2.75,"7,212,100"
"Mar 27, 2019",361,362.47,350.37,353.37,353.37,"7,852,400"
"Oct 15, 2002",0.54,0.59,0.54,0.55,0.55,"4,125,800"
"Jan 7, 2010",7.73,7.76,7.46,7.49,7.49,"9,955,400"
"Sep 16, 2011",23.97,24,22.02,22.17,22.17,"124,931,800"
"Nov 7, 2017",200,200.61,194.8,195.89,195.89,"6,468,000"
"Jul 21, 2017",182.72,191.5,182.71,188.54,188.54,"9,277,400"
"Jun 5, 2015",89.21,90.54,89.13,90.46,90.46,"11,624,200"
"Apr 1, 2024",608,615.11,605.57,614.31,614.31,"2,115,900"
"Mar 22, 2021",509.13,529.31,509.13,523.11,523.11,"3,360,600"
"Feb 27, 2014",63.98,64.88,63.98,64.6,64.6,"10,304,700"
"Dec 5, 2022",316.46,322.77,310.92,312.59,312.59,"8,423,000"
"Mar 13, 2007",3,3.02,2.93,2.94,2.94,"9,384,200"
"Dec 13, 2017",186.1,188.69,185.41,187.86,187.86,"4,710,000"
"Dec 21, 2021",597.54,607.82,593.86,604.92,604.92,"2,319,400"
"Mar 10, 2011",27.3,29.11,26.98,28.57,28.57,"69,890,100"
"Mar 13, 2024",613.37,614.85,607.21,609.45,609.45,"2,192,100"
"Apr 2, 2003",1.43,1.47,1.4,1.42,1.42,"22,761,200"
"Apr 12, 2023",340.81,342.8,330.04,331.03,331.03,"3,965,400"
"Jun 1, 2017",163.52,163.93,161.7,162.99,162.99,"3,896,300"
"Dec 22, 2011",10.16,10.63,10.16,10.55,10.55,"25,860,800"
"Aug 3, 2006",2.96,2.96,2.87,2.91,2.91,"13,385,400"
"Jun 8, 2011",37.61,37.92,36.93,37.47,37.47,"27,864,200"
"Apr 9, 2015",63,63.14,62.11,62.79,62.79,"13,455,400"
"Sep 4, 2013",41.26,41.87,41,41.78,41.78,"19,701,500"
"Mar 12, 2007",3,3.03,2.96,3.01,3.01,"6,709,500"
"Oct 23, 2009",7.12,8.21,7.1,7.84,7.84,"50,787,800"
"Apr 22, 2009",6.58,6.83,6.48,6.55,6.55,"12,685,400"
"May 28, 2014",56.74,57.89,56.21,57.32,57.32,"19,873,700"
"May 15, 2015",86.36,88.35,85.76,87.61,87.61,"37,053,100"
"Oct 16, 2007",3.46,3.46,3.38,3.42,3.42,"6,300,000"
"Nov 13, 2003",3.63,3.63,3.44,3.46,3.46,"23,836,400"
"Jan 26, 2021",554.73,567.99,554.06,561.93,561.93,"5,023,800"
"Sep 23, 2021",590.79,599.32,589.13,593.26,593.26,"2,526,200"
"Jun 25, 2019",370.75,371,358.29,360.3,360.3,"5,750,400"
"Jul 13, 2010",17.35,17.39,16.84,17.27,17.27,"17,581,200"
"Feb 1, 2006",3.91,3.93,3.79,3.87,3.87,"11,245,500"
"May 25, 2022",180.28,188.87,180.17,187.83,187.83,"8,522,100"
"Feb 18, 2014",62.42,63.03,61.14,62.41,62.41,"15,507,800"
"Jul 11, 2016",96.19,96.87,94.3,94.67,94.67,"13,276,200"
"Sep 17, 2014",65.27,65.55,64.47,64.93,64.93,"12,133,100"
"Oct 30, 2002",0.66,0.67,0.64,0.64,0.64,"1,423,800"
"Jul 5, 2022",176.28,185.92,172.68,185.88,185.88,"7,334,300"
"May 27, 2015",88.14,89.91,87.93,89.86,89.86,"10,506,300"
"Apr 18, 2011",33.14,33.45,32.57,33.33,33.33,"21,769,300"
"Apr 14, 2020",397.5,417.82,394.85,413.55,413.55,"11,581,000"
"Jun 17, 2008",4.56,4.56,4.47,4.47,4.47,"3,051,300"
"Jan 29, 2020",349,349.4,338.55,343.16,343.16,"7,643,500"
"Jan 25, 2021",567,569.75,548.65,556.78,556.78,"7,207,300"
"Feb 26, 2015",68.63,69.5,68.43,69,69,"10,852,800"
"Oct 22, 2003",3.79,3.88,3.72,3.75,3.75,"22,733,200"
"Mar 16, 2023",304.75,316.6,301.71,310.06,310.06,"7,903,700"
"Mar 7, 2017",141.99,142.4,140.38,141.43,141.43,"4,241,000"
"Nov 19, 2019",304.01,305.67,298.52,302.6,302.6,"5,918,000"
"Jan 24, 2020",348.46,359.85,345.88,353.16,353.16,"17,939,700"
"Sep 11, 2012",7.99,8.2,7.87,8.17,8.17,"33,040,000"
"Dec 4, 2008",3.28,3.49,3.24,3.31,3.31,"6,727,000"
"Jan 3, 2013",13.14,13.99,13.08,13.8,13.8,"27,912,500"
"May 30, 2023",397.48,405.11,385.79,392.98,392.98,"10,865,000"
"Feb 12, 2013",25.81,26.22,25.1,25.42,25.42,"34,399,400"
"Apr 19, 2011",33.4,34.61,33.12,34.51,34.51,"36,087,800"
"Mar 28, 2008",5.19,5.34,5.04,5.08,5.08,"9,209,900"
"Aug 7, 2014",62.19,64.28,62.08,64.24,64.24,"27,313,300"
"Jul 6, 2006",3.8,3.84,3.78,3.8,3.8,"3,276,000"
"Mar 6, 2013",26.02,26.42,25.65,26.13,26.13,"17,435,600"
"Aug 17, 2004",2.24,2.38,2.21,2.22,2.22,"9,687,300"
"Aug 29, 2008",4.45,4.49,4.36,4.41,4.41,"4,333,700"
"Sep 22, 2003",2.6,2.87,2.6,2.77,2.77,"22,540,000"
"Mar 7, 2011",30.68,30.7,29.18,29.63,29.63,"37,129,400"
"May 13, 2016",87.39,88.59,86.26,87.88,87.88,"11,571,400"
"Feb 12, 2008",3.86,3.9,3.79,3.84,3.84,"7,427,700"
"Jul 14, 2008",3.9,4.05,3.84,3.97,3.97,"17,445,400"
"Aug 26, 2009",6.33,6.39,6.25,6.28,6.28,"5,680,500"
